"chr","start","end","cluster","sample_name","junction_count","cluster_total","psi","junction_coords","gene_name","junc_cat","strand","n_significant_data","__index_level_0__","group","genotype","rescueExpression","TDP43_kd"
"chr3",9468615,9470459,"clu_32158_+","201903_M337P_pos_siT_3",0,177,0,"chr3:9468615-9470459","SETD5","novel_donor","+",7,8,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr11",216718,224078,"clu_7075_-","201812_M337P_pos_siT_1",0,20,0,"chr11:216718-224078","SIRT3","novel_exon_skip","-",1,150,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr12",111710437,111712498,"clu_10463_+","201812_M337P_pos_siT_1",0,84,0,"chr12:111710437-111712498","ACAD10","novel_donor","+",1,100,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr12",131992230,132005077,"clu_10682_+","201812_M337P_pos_siT_1",2,198,0.010101010101010102,"chr12:131992230-132005077","EP400","novel_exon_skip","+",10,30,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr7",45735670,45736787,"clu_41577_-","201903_M337P_pos_siT_3",0,58,0,"chr7:45735670-45736787","SEPTIN7P2","novel_acceptor","-",6,91,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr7",100050836,100056911,"clu_43077_+","201903_M337P_pos_siT_3",0,11,0,"chr7:100050836-100056911","ZSCAN21","novel_donor","+",1,70,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr9",76638288,76641790,"clu_46589_-","201903_M337P_pos_siT_3",0,35,0,"chr9:76638288-76641790","PRUNE2","novel_donor","-",2,121,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr3",184243630,184244601,"clu_34632_-","201903_M337P_pos_siT_3",0,123,0,"chr3:184243630-184244601","ALG3","novel_exon_skip","-",1,135,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr4",932540,951207,"clu_34827_+","201903_M337P_pos_siT_3",0,68,0,"chr4:932540-951207","TMEM175","novel_exon_skip","+",5,3,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr4",86672543,86674457,"clu_35267_+","201903_M337P_pos_siT_3",0,147,0,"chr4:86672543-86674457","PTPN13","novel_acceptor","+",3,147,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr5",69261458,69262205,"clu_36887_+","201903_M337P_pos_siT_3",0,124,0,"chr5:69261458-69262205","CDK7","novel_donor","+",5,5,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr5",78489153,78564813,"clu_38213_-","201903_M337P_pos_siT_3",2,21,0.09523809523809523,"chr5:78489153-78564813","LHFPL2","novel_exon_skip","-",1,22,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr6",158017290,158019984,"clu_39927_+","201903_M337P_pos_siT_3",0,2,0,"chr6:158017290-158019984","SYNJ2","novel_acceptor","+",4,1,"siTDP43_rescueInduced_M337P","M337P","rescueInduced","siTDP43"
"chr1",228307531,228309099,"clu_2311_+","201903_G335A_pos_siT_3",0,0,nan,"chr1:228307531-228309099","OBSCN","novel_exon_skip","+",1,128,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr1",243512426,243523309,"clu_4951_-","201903_G335A_pos_siT_3",0,25,0,"chr1:243512426-243523309","AKT3","novel_donor","-",4,63,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr10",3099352,3099557,"clu_5018_+","201903_G335A_pos_siT_3",6,109,0.05504587155963303,"chr10:3099352-3099557","PFKP","novel_acceptor","+",8,9,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr10",127381368,127381953,"clu_5966_+","201903_G335A_pos_siT_3",1,38,0.02631578947368421,"chr10:127381368-127381953","DOCK1","novel_acceptor","+",2,125,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr10",127382041,127384790,"clu_5966_+","201903_G335A_pos_siT_3",0,38,0,"chr10:127382041-127384790","DOCK1","novel_donor","+",2,126,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr11",216718,224078,"clu_7075_-","201903_G335A_pos_siT_3",0,23,0,"chr11:216718-224078","SIRT3","novel_exon_skip","-",1,150,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr16",14919428,14920272,"clu_16724_+","201903_G335A_pos_siT_3",0,117,0,"chr16:14919428-14920272","PKD1P3","novel_exon_skip","+",1,130,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr16",46900883,46906842,"clu_17125_+","201903_G335A_pos_siT_3",0,33,0,"chr16:46900883-46906842","GPT2","novel_donor","+",3,7,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr16",88624745,88628758,"clu_17507_+","201903_G335A_pos_siT_3",4,301,0.013289036544850499,"chr16:88624745-88628758","ZC3H18","novel_exon_skip","+",1,109,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr16",30240242,30242280,"clu_18232_-","201903_G335A_pos_siT_3",8,218,0.03669724770642202,"chr16:30240242-30242280","NPIPB13","novel_donor","-",1,114,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr16",67395082,67395187,"clu_18442_-","201903_G335A_pos_siT_3",4,12,0.3333333333333333,"chr16:67395082-67395187","ZDHHC1","novel_acceptor","-",1,129,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr18",12430292,12431150,"clu_22375_+","201903_G335A_pos_siT_3",0,78,0,"chr18:12430292-12431150","PRELID3A","novel_donor","+",2,66,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",7168094,7169720,"clu_23042_-","201903_G335A_pos_siT_3",0,26,0,"chr19:7168094-7169720","INSR","novel_donor","-",1,161,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",7169831,7170537,"clu_23042_-","201903_G335A_pos_siT_3",5,26,0.19230769230769232,"chr19:7169831-7170537","INSR","novel_acceptor","-",5,73,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",36572392,36573043,"clu_23542_-","201903_G335A_pos_siT_3",4,235,0.01702127659574468,"chr19:36572392-36573043","ZNF529","novel_donor","-",5,31,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",4491835,4492015,"clu_24310_+","201903_G335A_pos_siT_3",2,99,0.020202020202020204,"chr19:4491835-4492015","HDGFL2","novel_acceptor","+",7,16,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",4492152,4493703,"clu_24310_+","201903_G335A_pos_siT_3",0,99,0,"chr19:4492152-4493703","HDGFL2","novel_donor","+",6,17,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",21143643,21161546,"clu_24731_+","201903_G335A_pos_siT_3",0,41,0,"chr19:21143643-21161546","ZNF431","novel_acceptor","+",1,90,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",58585793,58586155,"clu_25670_+","201903_G335A_pos_siT_3",0,25,0,"chr19:58585793-58586155","ENSG00000286104","novel_donor","+",2,149,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr2",19978167,19978751,"clu_25771_-","201903_G335A_pos_siT_3",0,18,0,"chr2:19978167-19978751","WDR35","novel_acceptor","-",5,60,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr2",3458515,3460263,"clu_27272_+","201903_G335A_pos_siT_3",0,23,0,"chr2:3458515-3460263","TRAPPC12","novel_donor","+",9,24,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr2",241668685,241668875,"clu_28895_+","201903_G335A_pos_siT_3",0,39,0,"chr2:241668685-241668875","ATG4B","novel_acceptor","+",4,78,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr2",241668985,241670726,"clu_28895_+","201903_G335A_pos_siT_3",3,39,0.07692307692307693,"chr2:241668985-241670726","ATG4B","novel_donor","+",7,29,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr12",111710437,111712498,"clu_10463_+","201903_G335A_pos_siT_3",1,61,0.01639344262295082,"chr12:111710437-111712498","ACAD10","novel_donor","+",1,100,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr12",131992230,132005077,"clu_10682_+","201903_G335A_pos_siT_3",0,102,0,"chr12:131992230-132005077","EP400","novel_exon_skip","+",10,30,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr14",75959345,75960814,"clu_14299_-","201903_G335A_pos_siT_3",0,10,0,"chr14:75959345-75960814","TGFB3","novel_donor","-",2,102,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr15",43134014,43135512,"clu_14774_+","201903_G335A_pos_siT_3",0,17,0,"chr15:43134014-43135512","TMEM62","novel_donor","+",1,58,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr5",69261458,69262205,"clu_36887_+","201903_Q331K_pos_siT_2",0,247,0,"chr5:69261458-69262205","CDK7","novel_donor","+",5,5,"siTDP43_rescueInduced_Q331K","Q331K","rescueInduced","siTDP43"
"chr5",78489153,78564813,"clu_38213_-","201903_Q331K_pos_siT_2",1,29,0.034482758620689655,"chr5:78489153-78564813","LHFPL2","novel_exon_skip","-",1,22,"siTDP43_rescueInduced_Q331K","Q331K","rescueInduced","siTDP43"
"chr6",158017290,158019984,"clu_39927_+","201903_Q331K_pos_siT_2",0,13,0,"chr6:158017290-158019984","SYNJ2","novel_acceptor","+",4,1,"siTDP43_rescueInduced_Q331K","Q331K","rescueInduced","siTDP43"
"chr7",45735670,45736787,"clu_41577_-","201903_Q331K_pos_siT_2",0,40,0,"chr7:45735670-45736787","SEPTIN7P2","novel_acceptor","-",6,91,"siTDP43_rescueInduced_Q331K","Q331K","rescueInduced","siTDP43"
"chr7",100050836,100056911,"clu_43077_+","201903_Q331K_pos_siT_2",0,14,0,"chr7:100050836-100056911","ZSCAN21","novel_donor","+",1,70,"siTDP43_rescueInduced_Q331K","Q331K","rescueInduced","siTDP43"
"chr20",63439708,63444659,"clu_29405_-","201903_G335A_pos_siT_3",3,50,0.06,"chr20:63439708-63444659","KCNQ2","novel_exon_skip","-",9,35,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr20",38088420,38089726,"clu_29747_+","201903_G335A_pos_siT_3",0,106,0,"chr20:38088420-38089726","RPRD1B","novel_donor","+",1,98,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr22",17702386,17722274,"clu_31508_+","201903_G335A_pos_siT_3",1,206,0.0048543689320388345,"chr22:17702386-17722274","BCL2L13","novel_acceptor","+",6,4,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr3",9468615,9470459,"clu_32158_+","201903_G335A_pos_siT_3",3,210,0.014285714285714285,"chr3:9468615-9470459","SETD5","novel_donor","+",7,8,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr3",184243630,184244601,"clu_34632_-","201903_G335A_pos_siT_3",5,172,0.029069767441860465,"chr3:184243630-184244601","ALG3","novel_exon_skip","-",1,135,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr4",932540,951207,"clu_34827_+","201903_G335A_pos_siT_3",1,107,0.009345794392523364,"chr4:932540-951207","TMEM175","novel_exon_skip","+",5,3,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr4",86672543,86674457,"clu_35267_+","201903_G335A_pos_siT_3",0,191,0,"chr4:86672543-86674457","PTPN13","novel_acceptor","+",3,147,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr1",108896431,108896864,"clu_1219_+","201903_A326P_pos_siT_3",0,32,0,"chr1:108896431-108896864","GPSM2","novel_donor","+",7,14,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr1",228307531,228309099,"clu_2311_+","201903_A326P_pos_siT_3",1,1,1,"chr1:228307531-228309099","OBSCN","novel_exon_skip","+",1,128,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr1",108896431,108896864,"clu_1219_+","201812_G294A_pos_siT_3",0,55,0,"chr1:108896431-108896864","GPSM2","novel_donor","+",7,14,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr1",228307531,228309099,"clu_2311_+","201812_G294A_pos_siT_3",0,0,nan,"chr1:228307531-228309099","OBSCN","novel_exon_skip","+",1,128,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr7",45735670,45736787,"clu_41577_-","201812_A326P_pos_siT_1",0,91,0,"chr7:45735670-45736787","SEPTIN7P2","novel_acceptor","-",6,91,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr7",100050836,100056911,"clu_43077_+","201812_A326P_pos_siT_1",4,27,0.14814814814814814,"chr7:100050836-100056911","ZSCAN21","novel_donor","+",1,70,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr9",76638288,76641790,"clu_46589_-","201812_A326P_pos_siT_1",0,84,0,"chr9:76638288-76641790","PRUNE2","novel_donor","-",2,121,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr1",243512426,243523309,"clu_4951_-","201903_A326P_pos_siT_3",0,20,0,"chr1:243512426-243523309","AKT3","novel_donor","-",4,63,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr10",3099352,3099557,"clu_5018_+","201903_A326P_pos_siT_3",4,101,0.039603960396039604,"chr10:3099352-3099557","PFKP","novel_acceptor","+",8,9,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr10",127381368,127381953,"clu_5966_+","201903_A326P_pos_siT_3",0,19,0,"chr10:127381368-127381953","DOCK1","novel_acceptor","+",2,125,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr10",127382041,127384790,"clu_5966_+","201903_A326P_pos_siT_3",0,19,0,"chr10:127382041-127384790","DOCK1","novel_donor","+",2,126,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr11",216718,224078,"clu_7075_-","201903_A326P_pos_siT_3",0,22,0,"chr11:216718-224078","SIRT3","novel_exon_skip","-",1,150,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr1",243512426,243523309,"clu_4951_-","201812_G294A_pos_siT_3",0,188,0,"chr1:243512426-243523309","AKT3","novel_donor","-",4,63,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr10",3099352,3099557,"clu_5018_+","201812_G294A_pos_siT_3",6,184,0.03260869565217391,"chr10:3099352-3099557","PFKP","novel_acceptor","+",8,9,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr10",127381368,127381953,"clu_5966_+","201812_G294A_pos_siT_3",0,45,0,"chr10:127381368-127381953","DOCK1","novel_acceptor","+",2,125,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr10",127382041,127384790,"clu_5966_+","201812_G294A_pos_siT_3",0,45,0,"chr10:127382041-127384790","DOCK1","novel_donor","+",2,126,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr11",216718,224078,"clu_7075_-","201812_G294A_pos_siT_3",0,53,0,"chr11:216718-224078","SIRT3","novel_exon_skip","-",1,150,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr12",111710437,111712498,"clu_10463_+","201812_G294A_pos_siT_3",7,161,0.043478260869565216,"chr12:111710437-111712498","ACAD10","novel_donor","+",1,100,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr12",131992230,132005077,"clu_10682_+","201812_G294A_pos_siT_3",5,319,0.01567398119122257,"chr12:131992230-132005077","EP400","novel_exon_skip","+",10,30,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr14",75959345,75960814,"clu_14299_-","201812_G294A_pos_siT_3",0,5,0,"chr14:75959345-75960814","TGFB3","novel_donor","-",2,102,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr15",43134014,43135512,"clu_14774_+","201812_G294A_pos_siT_3",0,9,0,"chr15:43134014-43135512","TMEM62","novel_donor","+",1,58,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr16",14919428,14920272,"clu_16724_+","201812_G294A_pos_siT_3",9,220,0.04090909090909091,"chr16:14919428-14920272","PKD1P3","novel_exon_skip","+",1,130,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr16",46900883,46906842,"clu_17125_+","201812_G294A_pos_siT_3",0,45,0,"chr16:46900883-46906842","GPT2","novel_donor","+",3,7,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr16",88624745,88628758,"clu_17507_+","201812_G294A_pos_siT_3",0,361,0,"chr16:88624745-88628758","ZC3H18","novel_exon_skip","+",1,109,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr16",30240242,30242280,"clu_18232_-","201812_G294A_pos_siT_3",13,556,0.023381294964028777,"chr16:30240242-30242280","NPIPB13","novel_donor","-",1,114,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr16",67395082,67395187,"clu_18442_-","201812_G294A_pos_siT_3",0,5,0,"chr16:67395082-67395187","ZDHHC1","novel_acceptor","-",1,129,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr18",12430292,12431150,"clu_22375_+","201812_G294A_pos_siT_3",0,132,0,"chr18:12430292-12431150","PRELID3A","novel_donor","+",2,66,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr19",7168094,7169720,"clu_23042_-","201812_G294A_pos_siT_3",4,49,0.08163265306122448,"chr19:7168094-7169720","INSR","novel_donor","-",1,161,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr19",7169831,7170537,"clu_23042_-","201812_G294A_pos_siT_3",3,49,0.061224489795918366,"chr19:7169831-7170537","INSR","novel_acceptor","-",5,73,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr19",36572392,36573043,"clu_23542_-","201812_G294A_pos_siT_3",0,559,0,"chr19:36572392-36573043","ZNF529","novel_donor","-",5,31,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr19",4491835,4492015,"clu_24310_+","201812_G294A_pos_siT_3",0,172,0,"chr19:4491835-4492015","HDGFL2","novel_acceptor","+",7,16,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr19",4492152,4493703,"clu_24310_+","201812_G294A_pos_siT_3",6,172,0.03488372093023256,"chr19:4492152-4493703","HDGFL2","novel_donor","+",6,17,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr19",21143643,21161546,"clu_24731_+","201812_G294A_pos_siT_3",0,75,0,"chr19:21143643-21161546","ZNF431","novel_acceptor","+",1,90,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr12",111710437,111712498,"clu_10463_+","201903_A326P_pos_siT_3",0,46,0,"chr12:111710437-111712498","ACAD10","novel_donor","+",1,100,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr12",131992230,132005077,"clu_10682_+","201903_A326P_pos_siT_3",0,130,0,"chr12:131992230-132005077","EP400","novel_exon_skip","+",10,30,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr14",75959345,75960814,"clu_14299_-","201903_A326P_pos_siT_3",0,5,0,"chr14:75959345-75960814","TGFB3","novel_donor","-",2,102,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr15",43134014,43135512,"clu_14774_+","201903_A326P_pos_siT_3",0,28,0,"chr15:43134014-43135512","TMEM62","novel_donor","+",1,58,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr16",14919428,14920272,"clu_16724_+","201903_A326P_pos_siT_3",0,81,0,"chr16:14919428-14920272","PKD1P3","novel_exon_skip","+",1,130,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",58585793,58586155,"clu_25670_+","201812_G294A_pos_siT_3",0,40,0,"chr19:58585793-58586155","ENSG00000286104","novel_donor","+",2,149,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr2",19978167,19978751,"clu_25771_-","201812_G294A_pos_siT_3",0,61,0,"chr2:19978167-19978751","WDR35","novel_acceptor","-",5,60,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr2",3458515,3460263,"clu_27272_+","201812_G294A_pos_siT_3",0,28,0,"chr2:3458515-3460263","TRAPPC12","novel_donor","+",9,24,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr2",241668685,241668875,"clu_28895_+","201812_G294A_pos_siT_3",0,31,0,"chr2:241668685-241668875","ATG4B","novel_acceptor","+",4,78,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr2",241668985,241670726,"clu_28895_+","201812_G294A_pos_siT_3",0,31,0,"chr2:241668985-241670726","ATG4B","novel_donor","+",7,29,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr20",63439708,63444659,"clu_29405_-","201812_G294A_pos_siT_3",0,63,0,"chr20:63439708-63444659","KCNQ2","novel_exon_skip","-",9,35,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr20",38088420,38089726,"clu_29747_+","201812_G294A_pos_siT_3",4,213,0.018779342723004695,"chr20:38088420-38089726","RPRD1B","novel_donor","+",1,98,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr22",17702386,17722274,"clu_31508_+","201812_G294A_pos_siT_3",0,520,0,"chr22:17702386-17722274","BCL2L13","novel_acceptor","+",6,4,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr3",9468615,9470459,"clu_32158_+","201812_G294A_pos_siT_3",0,389,0,"chr3:9468615-9470459","SETD5","novel_donor","+",7,8,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr3",184243630,184244601,"clu_34632_-","201812_G294A_pos_siT_3",0,212,0,"chr3:184243630-184244601","ALG3","novel_exon_skip","-",1,135,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr4",932540,951207,"clu_34827_+","201812_G294A_pos_siT_3",0,201,0,"chr4:932540-951207","TMEM175","novel_exon_skip","+",5,3,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr4",86672543,86674457,"clu_35267_+","201812_G294A_pos_siT_3",0,582,0,"chr4:86672543-86674457","PTPN13","novel_acceptor","+",3,147,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr5",69261458,69262205,"clu_36887_+","201812_G294A_pos_siT_3",0,446,0,"chr5:69261458-69262205","CDK7","novel_donor","+",5,5,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr5",78489153,78564813,"clu_38213_-","201812_G294A_pos_siT_3",6,49,0.12244897959183673,"chr5:78489153-78564813","LHFPL2","novel_exon_skip","-",1,22,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr6",158017290,158019984,"clu_39927_+","201812_G294A_pos_siT_3",0,13,0,"chr6:158017290-158019984","SYNJ2","novel_acceptor","+",4,1,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr7",45735670,45736787,"clu_41577_-","201812_G294A_pos_siT_3",0,93,0,"chr7:45735670-45736787","SEPTIN7P2","novel_acceptor","-",6,91,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr7",100050836,100056911,"clu_43077_+","201812_G294A_pos_siT_3",0,16,0,"chr7:100050836-100056911","ZSCAN21","novel_donor","+",1,70,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr9",76638288,76641790,"clu_46589_-","201812_G294A_pos_siT_3",0,69,0,"chr9:76638288-76641790","PRUNE2","novel_donor","-",2,121,"siTDP43_rescueInduced_G294A","G294A","rescueInduced","siTDP43"
"chr1",108896431,108896864,"clu_1219_+","201812_A326P_pos_siT_3",0,61,0,"chr1:108896431-108896864","GPSM2","novel_donor","+",7,14,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr1",228307531,228309099,"clu_2311_+","201812_A326P_pos_siT_3",0,4,0,"chr1:228307531-228309099","OBSCN","novel_exon_skip","+",1,128,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr16",46900883,46906842,"clu_17125_+","201903_A326P_pos_siT_3",2,25,0.08,"chr16:46900883-46906842","GPT2","novel_donor","+",3,7,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr16",88624745,88628758,"clu_17507_+","201903_A326P_pos_siT_3",14,238,0.058823529411764705,"chr16:88624745-88628758","ZC3H18","novel_exon_skip","+",1,109,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr16",30240242,30242280,"clu_18232_-","201903_A326P_pos_siT_3",8,177,0.04519774011299435,"chr16:30240242-30242280","NPIPB13","novel_donor","-",1,114,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr16",67395082,67395187,"clu_18442_-","201903_A326P_pos_siT_3",0,7,0,"chr16:67395082-67395187","ZDHHC1","novel_acceptor","-",1,129,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr18",12430292,12431150,"clu_22375_+","201903_A326P_pos_siT_3",0,69,0,"chr18:12430292-12431150","PRELID3A","novel_donor","+",2,66,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",7168094,7169720,"clu_23042_-","201903_A326P_pos_siT_3",0,25,0,"chr19:7168094-7169720","INSR","novel_donor","-",1,161,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",7169831,7170537,"clu_23042_-","201903_A326P_pos_siT_3",0,25,0,"chr19:7169831-7170537","INSR","novel_acceptor","-",5,73,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",36572392,36573043,"clu_23542_-","201903_A326P_pos_siT_3",2,186,0.010752688172043012,"chr19:36572392-36573043","ZNF529","novel_donor","-",5,31,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",4491835,4492015,"clu_24310_+","201903_A326P_pos_siT_3",0,150,0,"chr19:4491835-4492015","HDGFL2","novel_acceptor","+",7,16,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",4492152,4493703,"clu_24310_+","201903_A326P_pos_siT_3",0,150,0,"chr19:4492152-4493703","HDGFL2","novel_donor","+",6,17,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",21143643,21161546,"clu_24731_+","201903_A326P_pos_siT_3",0,38,0,"chr19:21143643-21161546","ZNF431","novel_acceptor","+",1,90,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
"chr19",58585793,58586155,"clu_25670_+","201903_A326P_pos_siT_3",1,28,0.03571428571428571,"chr19:58585793-58586155","ENSG00000286104","novel_donor","+",2,149,"siTDP43_rescueInduced_A326P","A326P","rescueInduced","siTDP43"
